# Global statistics file
######################################################
# The quantities are all given in internal units!
#
# (0)  Simulation step
#      Unit = dimensionless
# (1)  Time since Big Bang (cosmological run), Time since start of the simulation (non-cosmological run).
#      Unit = 1.000000e+00 s
#      Unit = 3.168877e-08 yr 
#      Unit = 3.168877e-14 Myr 
# (2)  Scale factor
#      Unit = dimensionless
# (3)  Redshift
#      Unit = dimensionless
# (4)  Total mass in the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (5)  Total gas mass in the simulation (Particle type 0). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (6)  Total dark matter mass in the simulation (Particle type 1 & 2). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (7)  Total sink mass in the simulation (Particle type 3). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (8)  Total stellar mass in the simulation (Particle type 4). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (9)  Total black hole mass in the simulation (Particle type 5). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (10) Total metal mass in the gas phase. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (11) Total metal mass locked in stars. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (12) Total metal mass locked in black holes. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (13) Total kinetic energy (physical). 
#      Unit = 1.000000e+07 erg
# (14) Total internal (thermal) energy of the gas (physical). 
#      Unit = 1.000000e+07 erg
# (15) Total potential energy (physical). 
#      Unit = 1.000000e+07 erg
# (16) Total radiated energy of the gas (physical). 
#      Unit = 1.000000e+07 erg
# (17) Total gas entropy (physical). 
#      Unit = 1.000000e+09 gram**(0.333) * cm**(4.000) * s**(-2.000)
# (18) Comoving centre of mass of the simulation (x coordinate). 
#      Unit = 1.000000e+02 cm
#      Unit = 3.240779e-17 pc
#      Unit = 3.240779e-23 Mpc
# (19) Comoving centre of mass of the simulation (y coordinate). 
#      Unit = 1.000000e+02 cm
#      Unit = 3.240779e-17 pc
#      Unit = 3.240779e-23 Mpc
# (20) Comoving centre of mass of the simulation (z coordinate). 
#      Unit = 1.000000e+02 cm
#      Unit = 3.240779e-17 pc
#      Unit = 3.240779e-23 Mpc
# (21) Comoving momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+05 gram * cm * s**-1
# (22) Comoving momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+05 gram * cm * s**-1
# (23) Comoving momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+05 gram * cm * s**-1
# (24) Comoving angular momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+07 gram * cm**2 * s**-1
# (25) Comoving angular momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+07 gram * cm**2 * s**-1
# (26) Comoving angular momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+07 gram * cm**2 * s**-1
# (27) Sum of instantaneous accretion rate of all black holes in the simulation. 
#      Unit = 1.000000e+03 gram * s**-1
#      Unit = 1.587043e-23 Msun/yr
# (28)  Total mass accreted by black holes in the simulation (not including mass accreted by progenitors that have merged in the current BHs). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (29)  Total black hole subgrid mass in the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (30) Total Hydrogen (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (31) Total Molecular Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (32) Total Atomic Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (33) Total Helium (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (34) Total Magnetic Energy B2/(2*mu0) in thesimulation. 
#      Unit = 1.000000e+07 erg
# (35) Total DivB error in thesimulation. 
#      Unit = dimensionless
# (36) Total Cross Helicity :: sum(V.B) in thesimulation. 
#      Unit = 1.000000e+06 gram * cm * s**-3 * A**-1 
# (37) Total Magnetic Helicity :: sum(A.B) in thesimulation. 
#      Unit = 1.000000e-08 gram**2 * cm * s**-4 * A**-2
# (38) Total bolometric luminosity of the BHs. 
#      Unit = 1.000000e+07 erg * s**-1
# (39) Total jet power of the BHs. 
#      Unit = 1.000000e+07 erg * s**-1
#
#           (0)            (1)            (2)            (3)            (4)            (5)            (6)            (7)            (8)            (9)           (10)           (11)           (12)           (13)           (14)           (15)           (16)           (17)           (18)           (19)           (20)           (21)           (22)           (23)           (24)           (25)           (26)           (27)           (28)           (29)           (30)           (31)           (32)           (33)           (34)            (35)            (36)            (37)           (38)            (39) 
#          Step           Time              a              z     Total mass       Gas mass        DM mass      Sink mass      Star mass        BH mass     Gas Z mass    Star Z mass      BH Z mass    Kin. Energy    Int. Energy    Pot. energy    Rad. energy    Gas Entropy          CoM x          CoM y          CoM z         Mom. x         Mom. y         Mom. z    Ang. mom. x    Ang. mom. y    Ang. mom. z   BH acc. rate   BH acc. mass   BH sub. mass     Gas H mass    Gas H2 mass    Gas HI mass    Gas He mass    Mag. Energy        DivB err    Cr. Helicity   Mag. Helicity   BH bol. lum.   BH jet power 
              0   0.000000e+00      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.492773e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.405095e+12   7.479894e+12   7.794384e+20   5.994000e+34   0.000000e+00  -4.483448e+47   5.830112e+33   4.931793e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
              5   8.640000e+04      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.494428e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.406391e+12   7.479894e+12   2.328944e+22   5.993999e+34   0.000000e+00  -4.483448e+47   1.742026e+35   4.931792e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             11   1.728000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.496889e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.407687e+12   7.479894e+12   4.805013e+22   5.994000e+34   0.000000e+00  -4.483448e+47   3.594101e+35   4.931793e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             16   2.592000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.499329e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.408983e+12   7.479894e+12   7.287006e+22   5.994001e+34   0.000000e+00  -4.483449e+47   5.450608e+35   4.931794e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             22   3.456000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.501742e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.410279e+12   7.479894e+12   9.775099e+22   5.994002e+34   0.000000e+00  -4.483449e+47   7.311660e+35   4.931794e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             28   4.320000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.504137e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.411575e+12   7.479894e+12   1.226913e+23   5.994002e+34   0.000000e+00  -4.483450e+47   9.177177e+35   4.931794e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             33   5.184000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.505718e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.412871e+12   7.479894e+12   1.476906e+23   5.994002e+34   0.000000e+00  -4.483450e+47   1.104711e+36   4.931795e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             39   6.048000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.508070e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.414167e+12   7.479894e+12   1.727507e+23   5.994002e+34   0.000000e+00  -4.483450e+47   1.292158e+36   4.931795e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             44   6.912000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.510400e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.415463e+12   7.479894e+12   1.978707e+23   5.994003e+34   0.000000e+00  -4.483450e+47   1.480048e+36   4.931795e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             50   7.776000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.512703e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.416759e+12   7.479894e+12   2.230503e+23   5.994003e+34   0.000000e+00  -4.483451e+47   1.668395e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             56   8.640000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.514983e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.418055e+12   7.479894e+12   2.482909e+23   5.994004e+34   0.000000e+00  -4.483451e+47   1.857194e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             61   9.504000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.516490e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.419351e+12   7.479894e+12   2.735893e+23   5.994005e+34   0.000000e+00  -4.483452e+47   2.046422e+36   4.931797e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             67   1.036800e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.518730e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.420647e+12   7.479894e+12   2.989484e+23   5.994004e+34   0.000000e+00  -4.483451e+47   2.236109e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             72   1.123200e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.520941e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.421943e+12   7.479894e+12   3.243673e+23   5.994003e+34   0.000000e+00  -4.483451e+47   2.426233e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             78   1.209600e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.523135e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.423239e+12   7.479894e+12   3.498475e+23   5.994003e+34   0.000000e+00  -4.483451e+47   2.616817e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             84   1.296000e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.525299e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.424535e+12   7.479894e+12   3.753871e+23   5.994004e+34   0.000000e+00  -4.483451e+47   2.807857e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             89   1.382400e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.526726e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.425831e+12   7.479894e+12   4.009849e+23   5.994004e+34   0.000000e+00  -4.483451e+47   2.999320e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             95   1.468800e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.528851e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.427127e+12   7.479894e+12   4.266446e+23   5.994003e+34   0.000000e+00  -4.483451e+47   3.191259e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            100   1.555200e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.530947e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.428423e+12   7.479894e+12   4.523632e+23   5.994004e+34   0.000000e+00  -4.483451e+47   3.383628e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            106   1.641600e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.533020e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.429719e+12   7.479894e+12   4.781418e+23   5.994004e+34   0.000000e+00  -4.483451e+47   3.576455e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            112   1.728000e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.535061e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.431015e+12   7.479894e+12   5.039806e+23   5.994004e+34   0.000000e+00  -4.483451e+47   3.769728e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            117   1.814400e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.536413e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.432311e+12   7.479894e+12   5.298783e+23   5.994004e+34   0.000000e+00  -4.483451e+47   3.963433e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            123   1.900800e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.538414e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.433607e+12   7.479894e+12   5.558358e+23   5.994003e+34   0.000000e+00  -4.483451e+47   4.157603e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            129   1.987200e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.540389e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.434903e+12   7.479894e+12   5.818571e+23   5.994004e+34   0.000000e+00  -4.483451e+47   4.352227e+36   4.931796e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
